assigned_who,total_reports,fixed_reports,reputation
6,41,10,0.24390243902439024
8,942,330,0.3503184713375796
9,577,454,0.7868284228769498
10,676,406,0.6005917159763313
11,1925,701,0.3641558441558442
12,107,128,1.1962616822429906
13,4218,2658,0.6301564722617354
14,963,171,0.17757009345794392
15,2,0,0.0
16,16,3,0.1875
17,3,0,0.0
18,518,517,0.9980694980694981
20,608,209,0.34375
21,900,402,0.44666666666666666
23,307,175,0.5700325732899023
24,3618,1114,0.30790491984521834
25,126,81,0.6428571428571429
27,2,0,0.0
28,48,26,0.5416666666666666
29,3823,2537,0.6636149620716715
30,10560,6618,0.6267045454545455
31,789,613,0.7769328263624842
32,2001,1272,0.6356821589205397
33,31,51,1.6451612903225807
34,7080,2434,0.3437853107344633
35,95,66,0.6947368421052632
36,29,6,0.20689655172413793
37,5936,2407,0.40549191374663074
38,428,28,0.06542056074766354
39,8350,3321,0.3977245508982036
41,173,134,0.7745664739884393
45,171,73,0.4269005847953216
46,211,124,0.5876777251184834
47,1654,288,0.17412333736396615
48,30,36,1.2
49,1042,583,0.5595009596928983
50,196,111,0.5663265306122449
51,1990,1038,0.521608040201005
52,306,115,0.3758169934640523
53,918,542,0.5904139433551199
54,20417,8077,0.39560170446196796
55,157,15,0.09554140127388536
56,6,2,0.3333333333333333
57,1120,602,0.5375
58,2467,808,0.32752330766112686
59,126,69,0.5476190476190477
60,420,174,0.4142857142857143
61,420,273,0.65
62,194,58,0.29896907216494845
64,276,76,0.2753623188405797
65,807,538,0.6666666666666666
66,464,141,0.30387931034482757
67,400,430,1.075
68,118,76,0.6440677966101694
71,3,0,0.0
75,4,0,0.0
84,8,0,0.0
86,1109,1271,1.1460775473399458
88,193,113,0.5854922279792746
96,3,0,0.0
100,3,0,0.0
104,9,3,0.3333333333333333
117,2,0,0.0
146,6,0,0.0
225,69,31,0.4492753623188406
238,307,421,1.3713355048859934
245,2,0,0.0
246,3,0,0.0
253,2,0,0.0
261,113,11,0.09734513274336283
265,6,1,0.16666666666666666
268,10,1,0.1
329,8,0,0.0
354,7,21,3.0
396,2,0,0.0
401,2,1,0.5
408,11,1,0.09090909090909091
454,2,1,0.5
460,393,549,1.3969465648854962
469,825,730,0.8848484848484849
479,2,0,0.0
481,717,494,0.6889818688981869
495,9,7,0.7777777777777778
