assigned_who,fixed_bugs,total_reports,fixed_bugs_ratio
6,10,43,0.23255813953488372
8,330,1497,0.22044088176352705
9,454,741,0.6126855600539811
10,406,1048,0.38740458015267176
11,701,2182,0.3212648945921173
12,128,239,0.5355648535564853
13,2658,6121,0.43424277078908674
14,171,1356,0.1261061946902655
15,0,2,0.0
16,3,20,0.15
17,0,7,0.0
18,517,772,0.6696891191709845
20,209,712,0.29353932584269665
21,402,1094,0.36745886654478976
23,175,387,0.45219638242894056
24,1114,4138,0.2692121797970034
25,81,197,0.41116751269035534
27,0,5,0.0
28,26,84,0.30952380952380953
29,2537,6115,0.41488143908421915
30,6618,24641,0.26857676230672456
31,613,1327,0.4619442351168048
32,1272,2382,0.5340050377833753
33,51,115,0.4434782608695652
34,2434,8824,0.2758386219401632
35,66,145,0.45517241379310347
36,6,37,0.16216216216216217
37,2407,8486,0.283643648362008
38,28,521,0.053742802303262956
39,3321,10482,0.31682884945621065
41,134,297,0.4511784511784512
45,73,248,0.29435483870967744
46,124,378,0.328042328042328
47,288,1869,0.15409309791332262
48,36,83,0.43373493975903615
49,583,1349,0.43217197924388434
50,111,280,0.3964285714285714
51,1038,2696,0.3850148367952522
52,115,326,0.35276073619631904
53,542,1192,0.4546979865771812
54,8077,32690,0.24707861731416336
55,15,191,0.07853403141361257
56,2,10,0.2
57,602,1625,0.37046153846153845
58,808,2487,0.32488942501005225
59,69,147,0.46938775510204084
60,174,497,0.3501006036217304
61,273,582,0.4690721649484536
62,58,304,0.19078947368421054
64,76,315,0.24126984126984127
65,538,946,0.5687103594080338
66,141,586,0.24061433447098976
67,430,765,0.5620915032679739
68,76,210,0.3619047619047619
71,0,3,0.0
74,1,4,0.25
75,0,4,0.0
84,0,8,0.0
86,1271,2201,0.5774647887323944
88,113,311,0.3633440514469453
91,1,3,0.3333333333333333
96,0,6,0.0
98,1,3,0.3333333333333333
100,0,3,0.0
104,3,13,0.23076923076923078
115,3,6,0.5
117,0,2,0.0
