assigned_who,bug_status_total_edits,resolution_total_edits,bug_status_edits_fixed,resolution_edits_fixed
6,43,43,20.0,23.0
8,1497,1497,691.0,688.0
9,741,741,570.0,571.0
10,1048,1048,511.0,814.0
11,2182,2182,1313.0,949.0
12,239,239,151.0,193.0
13,6121,6121,3443.0,4752.0
14,1356,1356,491.0,359.0
15,2,2,1.0,0.0
16,20,20,9.0,7.0
17,7,7,3.0,0.0
18,772,772,578.0,695.0
20,712,712,423.0,357.0
21,1094,1094,621.0,693.0
23,387,387,221.0,314.0
24,4138,4138,2507.0,1619.0
25,197,197,98.0,158.0
27,5,5,2.0,0.0
28,84,84,45.0,42.0
29,6115,6115,2682.0,5806.0
30,24641,24641,7470.0,21982.0
31,1327,1327,843.0,950.0
32,2382,2382,1685.0,1736.0
33,115,115,65.0,93.0
34,8824,8824,4392.0,4362.0
35,145,145,90.0,97.0
36,37,37,16.0,14.0
37,8486,8486,3371.0,5623.0
38,521,521,225.0,66.0
39,10482,10482,5599.0,6159.0
41,297,297,191.0,203.0
45,248,248,119.0,145.0
46,378,378,172.0,251.0
47,1869,1869,757.0,677.0
48,83,83,47.0,61.0
49,1349,1349,600.0,1313.0
50,280,280,169.0,179.0
51,2696,2696,1490.0,1850.0
52,326,326,254.0,154.0
53,1192,1192,849.0,747.0
54,32690,32690,11088.0,23496.0
55,191,191,118.0,28.0
56,10,10,5.0,4.0
57,1625,1625,879.0,1096.0
58,2487,2487,2208.0,891.0
59,147,147,85.0,118.0
60,497,497,254.0,349.0
61,582,582,417.0,394.0
62,304,304,93.0,213.0
64,315,315,149.0,162.0
65,946,946,757.0,657.0
66,586,586,300.0,245.0
67,765,765,480.0,683.0
68,210,210,110.0,147.0
71,3,3,1.0,0.0
74,4,4,1.0,4.0
75,4,4,2.0,0.0
84,8,8,2.0,0.0
86,2201,2201,1445.0,1924.0
88,311,311,186.0,192.0
91,3,3,1.0,3.0
96,6,6,2.0,0.0
98,3,3,1.0,3.0
100,3,3,1.0,0.0
104,13,13,6.0,7.0
115,6,6,3.0,6.0
117,2,2,1.0,0.0
129,4,4,2.0,4.0
146,6,6,3.0,0.0
225,134,134,51.0,77.0
238,728,728,461.0,653.0
245,2,2,1.0,0.0
246,3,3,1.0,0.0
253,4,4,2.0,0.0
261,125,125,54.0,34.0
265,8,8,4.0,2.0
268,14,14,6.0,4.0
283,2,2,1.0,2.0
293,2,2,1.0,2.0
307,4,4,2.0,4.0
321,2,2,1.0,2.0
329,8,8,3.0,0.0
354,66,66,27.0,53.0
396,2,2,1.0,0.0
401,4,4,2.0,2.0
408,13,13,6.0,2.0
427,2,2,1.0,2.0
454,4,4,2.0,2.0
455,4,4,2.0,4.0
457,16,16,8.0,16.0
460,2138,2138,603.0,1985.0
469,1690,1690,748.0,1650.0
475,8,8,4.0,8.0
479,2,2,1.0,0.0
481,827,827,657.0,599.0
482,6,6,3.0,6.0
495,15,15,9.0,11.0
519,2,2,1.0,0.0
522,8,8,4.0,8.0
523,2,2,1.0,0.0
526,3,3,1.0,3.0
533,2,2,1.0,2.0
536,2,2,1.0,2.0
550,21,21,7.0,14.0
569,6,6,4.0,0.0
574,2,2,1.0,2.0
575,2,2,1.0,0.0
579,5,5,2.0,5.0
580,32,32,12.0,13.0
581,3,3,1.0,0.0
583,45,45,21.0,5.0
590,37,37,17.0,20.0
594,2,2,1.0,0.0
608,2,2,1.0,0.0
626,2,2,1.0,0.0
631,2,2,1.0,2.0
633,10,10,4.0,10.0
634,2,2,1.0,2.0
639,10,10,5.0,4.0
650,2,2,1.0,2.0
651,10,10,4.0,0.0
652,2,2,1.0,2.0
683,3,3,1.0,0.0
692,3,3,1.0,0.0
696,4,4,2.0,2.0
698,200,200,138.0,172.0
709,2,2,1.0,0.0
727,2,2,1.0,2.0
730,11,11,4.0,8.0
737,2,2,1.0,0.0
746,13,13,7.0,12.0
770,6,6,2.0,0.0
773,4,4,2.0,2.0
792,2,2,1.0,0.0
793,2,2,1.0,2.0
796,10,10,5.0,2.0
819,7,7,1.0,0.0
822,2,2,1.0,2.0
826,10,10,3.0,10.0
834,3,3,1.0,0.0
855,2,2,1.0,2.0
870,2,2,1.0,0.0
875,2,2,1.0,0.0
882,2,2,1.0,0.0
884,2,2,1.0,0.0
905,2,2,1.0,0.0
913,3,3,1.0,3.0
933,3,3,1.0,3.0
963,2,2,1.0,0.0
967,116,116,96.0,105.0
980,2,2,1.0,0.0
981,2,2,1.0,0.0
982,2,2,1.0,0.0
1026,6,6,4.0,6.0
1057,2,2,1.0,0.0
1063,2,2,1.0,2.0
1068,1177,1177,788.0,886.0
1109,4,4,2.0,0.0
1120,2,2,1.0,2.0
1121,4,4,2.0,2.0
1148,2,2,1.0,2.0
1155,4,4,2.0,2.0
1169,6,6,2.0,6.0
1186,10,10,5.0,8.0
1247,2,2,1.0,0.0
1249,26,26,8.0,11.0
1252,10,10,4.0,6.0
1256,2,2,1.0,2.0
1269,175,175,87.0,122.0
1294,2,2,1.0,0.0
1306,4,4,1.0,4.0
1322,4,4,1.0,4.0
1343,3,3,1.0,3.0
1347,2,2,1.0,0.0
1360,2,2,1.0,2.0
1406,2,2,1.0,2.0
1409,5,5,2.0,2.0
1428,2,2,1.0,0.0
1474,103,103,51.0,76.0
1497,5,5,2.0,0.0
1536,2,2,1.0,2.0
1545,2,2,1.0,0.0
1546,4,4,2.0,0.0
1552,16,16,8.0,16.0
1555,5,5,2.0,3.0
1562,2,2,1.0,0.0
1564,13,13,4.0,9.0
1584,24,24,12.0,10.0
1607,4,4,2.0,2.0
1608,1,1,0.0,0.0
1626,2,2,1.0,2.0
1633,2,2,1.0,2.0
1701,7,7,3.0,4.0
1715,2,2,1.0,0.0
1754,2,2,1.0,2.0
1760,2117,2117,1127.0,1771.0
1790,8,8,4.0,2.0
1812,4,4,2.0,4.0
1816,2,2,1.0,0.0
1827,2,2,1.0,2.0
1904,1,1,1.0,0.0
1906,541,541,403.0,500.0
1907,454,454,240.0,409.0
1908,3,3,1.0,3.0
1917,2,2,1.0,0.0
1920,2,2,1.0,0.0
1950,2,2,1.0,0.0
1961,303,303,198.0,229.0
1988,8,8,3.0,6.0
2003,2,2,1.0,0.0
2054,2,2,1.0,2.0
2066,2,2,1.0,0.0
2077,4,4,2.0,0.0
2098,2,2,1.0,0.0
2124,1039,1039,564.0,948.0
2153,2,2,1.0,0.0
2161,2,2,1.0,2.0
2176,6,6,3.0,4.0
2181,2,2,1.0,0.0
2184,469,469,239.0,353.0
2186,2,2,1.0,2.0
2200,2,2,1.0,0.0
2202,5,5,2.0,0.0
2207,6,6,3.0,0.0
2235,3,3,1.0,3.0
2253,7,7,3.0,0.0
