assigned_who,bug_status_edits_fixed,resolution_edits_fixed
6,20.0,23.0
8,691.0,688.0
9,570.0,571.0
10,511.0,814.0
11,1313.0,949.0
12,151.0,193.0
13,3443.0,4752.0
14,491.0,359.0
15,1.0,0.0
16,9.0,7.0
17,3.0,0.0
18,578.0,695.0
20,423.0,357.0
21,621.0,693.0
23,221.0,314.0
24,2507.0,1619.0
25,98.0,158.0
27,2.0,0.0
28,45.0,42.0
29,2682.0,5806.0
30,7470.0,21982.0
31,843.0,950.0
32,1685.0,1736.0
33,65.0,93.0
34,4392.0,4362.0
35,90.0,97.0
36,16.0,14.0
37,3371.0,5623.0
38,225.0,66.0
39,5599.0,6159.0
41,191.0,203.0
45,119.0,145.0
46,172.0,251.0
47,757.0,677.0
48,47.0,61.0
49,600.0,1313.0
50,169.0,179.0
51,1490.0,1850.0
52,254.0,154.0
53,849.0,747.0
54,11088.0,23496.0
55,118.0,28.0
56,5.0,4.0
57,879.0,1096.0
58,2208.0,891.0
59,85.0,118.0
60,254.0,349.0
61,417.0,394.0
62,93.0,213.0
64,149.0,162.0
65,757.0,657.0
66,300.0,245.0
67,480.0,683.0
68,110.0,147.0
71,1.0,0.0
74,1.0,4.0
75,2.0,0.0
84,2.0,0.0
86,1445.0,1924.0
88,186.0,192.0
91,1.0,3.0
96,2.0,0.0
98,1.0,3.0
100,1.0,0.0
104,6.0,7.0
115,3.0,6.0
117,1.0,0.0
129,2.0,4.0
146,3.0,0.0
225,51.0,77.0
238,461.0,653.0
245,1.0,0.0
246,1.0,0.0
253,2.0,0.0
261,54.0,34.0
265,4.0,2.0
268,6.0,4.0
283,1.0,2.0
293,1.0,2.0
307,2.0,4.0
321,1.0,2.0
329,3.0,0.0
354,27.0,53.0
396,1.0,0.0
401,2.0,2.0
408,6.0,2.0
427,1.0,2.0
454,2.0,2.0
455,2.0,4.0
457,8.0,16.0
460,603.0,1985.0
469,748.0,1650.0
475,4.0,8.0
479,1.0,0.0
481,657.0,599.0
482,3.0,6.0
495,9.0,11.0
519,1.0,0.0
522,4.0,8.0
523,1.0,0.0
526,1.0,3.0
533,1.0,2.0
536,1.0,2.0
550,7.0,14.0
569,4.0,0.0
574,1.0,2.0
575,1.0,0.0
579,2.0,5.0
580,12.0,13.0
581,1.0,0.0
583,21.0,5.0
590,17.0,20.0
594,1.0,0.0
608,1.0,0.0
626,1.0,0.0
631,1.0,2.0
633,4.0,10.0
634,1.0,2.0
639,5.0,4.0
650,1.0,2.0
651,4.0,0.0
652,1.0,2.0
683,1.0,0.0
692,1.0,0.0
696,2.0,2.0
698,138.0,172.0
709,1.0,0.0
727,1.0,2.0
730,4.0,8.0
737,1.0,0.0
746,7.0,12.0
770,2.0,0.0
773,2.0,2.0
792,1.0,0.0
793,1.0,2.0
796,5.0,2.0
819,1.0,0.0
822,1.0,2.0
826,3.0,10.0
834,1.0,0.0
855,1.0,2.0
870,1.0,0.0
875,1.0,0.0
882,1.0,0.0
884,1.0,0.0
905,1.0,0.0
913,1.0,3.0
933,1.0,3.0
963,1.0,0.0
967,96.0,105.0
980,1.0,0.0
981,1.0,0.0
982,1.0,0.0
1026,4.0,6.0
1057,1.0,0.0
1063,1.0,2.0
1068,788.0,886.0
1109,2.0,0.0
1120,1.0,2.0
1121,2.0,2.0
1148,1.0,2.0
1155,2.0,2.0
1169,2.0,6.0
1186,5.0,8.0
1247,1.0,0.0
1249,8.0,11.0
1252,4.0,6.0
1256,1.0,2.0
1269,87.0,122.0
1294,1.0,0.0
1306,1.0,4.0
1322,1.0,4.0
1343,1.0,3.0
1347,1.0,0.0
1360,1.0,2.0
1406,1.0,2.0
1409,2.0,2.0
1428,1.0,0.0
1474,51.0,76.0
1497,2.0,0.0
1536,1.0,2.0
1545,1.0,0.0
1546,2.0,0.0
1552,8.0,16.0
1555,2.0,3.0
1562,1.0,0.0
1564,4.0,9.0
1584,12.0,10.0
1607,2.0,2.0
1626,1.0,2.0
1633,1.0,2.0
1701,3.0,4.0
1715,1.0,0.0
1754,1.0,2.0
1760,1127.0,1771.0
1790,4.0,2.0
1812,2.0,4.0
1816,1.0,0.0
1827,1.0,2.0
1904,1.0,0.0
1906,403.0,500.0
1907,240.0,409.0
1908,1.0,3.0
1917,1.0,0.0
1920,1.0,0.0
1950,1.0,0.0
1961,198.0,229.0
1988,3.0,6.0
2003,1.0,0.0
2054,1.0,2.0
2066,1.0,0.0
2077,2.0,0.0
2098,1.0,0.0
2124,564.0,948.0
2153,1.0,0.0
2161,1.0,2.0
2176,3.0,4.0
2181,1.0,0.0
2184,239.0,353.0
2186,1.0,2.0
2200,1.0,0.0
2202,2.0,0.0
2207,3.0,0.0
2235,1.0,3.0
2253,3.0,0.0
2268,1.0,0.0
2273,4.0,4.0
2279,1.0,0.0
2294,1.0,2.0
